File name: 60-10-15
Result: 14
Gen 1:[4, 12, 15, 8, 11, 9, 14, 9, 11, 6, 11, 6, 12, 9, 5, 6, 2, 9, 5, 4, 11, 3, 15, 7, 9, 6, 14, 9, 5, 11, 10, 13, 7, 10, 10, 8, 14, 4, 13, 17, 2, 13, 8, 2, 7, 9, 3, 4, 14, 7, 8, 13, 12, 6, 2, 5, 3, 5, 14, 2, 3014]
Gen 2:[4, 12, 15, 8, 11, 9, 14, 9, 11, 6, 11, 6, 12, 9, 5, 6, 2, 9, 5, 4, 11, 3, 15, 7, 9, 6, 14, 9, 5, 11, 10, 13, 7, 10, 10, 8, 14, 4, 13, 17, 2, 13, 8, 2, 7, 9, 3, 4, 14, 7, 8, 13, 12, 6, 2, 5, 3, 5, 14, 2, 3014]
Gen 3:[4, 12, 15, 8, 11, 9, 14, 9, 11, 7, 11, 6, 12, 9, 6, 5, 2, 9, 5, 4, 11, 3, 15, 7, 9, 6, 14, 9, 5, 11, 10, 13, 7, 10, 10, 8, 14, 4, 13, 17, 2, 13, 8, 2, 7, 9, 3, 4, 14, 7, 8, 13, 12, 6, 2, 5, 3, 5, 14, 2, 3014]
Gen 4:[4, 12, 15, 8, 11, 9, 14, 9, 11, 6, 11, 6, 12, 9, 5, 6, 2, 9, 5, 4, 11, 3, 15, 7, 9, 6, 14, 9, 5, 11, 10, 13, 7, 10, 10, 8, 14, 4, 13, 17, 2, 13, 8, 2, 7, 9, 3, 4, 14, 7, 8, 13, 12, 6, 2, 5, 3, 5, 14, 2, 3014]
Gen 5:[4, 12, 15, 8, 11, 9, 14, 9, 11, 7, 11, 6, 12, 8, 6, 5, 2, 9, 5, 4, 11, 3, 15, 7, 9, 6, 14, 9, 5, 11, 10, 13, 7, 10, 10, 8, 14, 4, 13, 17, 2, 13, 8, 2, 7, 9, 3, 4, 14, 7, 8, 13, 12, 6, 2, 5, 3, 5, 14, 2, 3014]
Gen 6:[4, 12, 15, 8, 11, 9, 14, 9, 11, 7, 11, 6, 12, 9, 6, 5, 2, 9, 5, 4, 11, 3, 15, 7, 9, 6, 14, 9, 5, 11, 10, 13, 7, 10, 10, 8, 14, 4, 13, 17, 2, 13, 8, 2, 7, 9, 3, 4, 14, 7, 8, 13, 12, 6, 2, 5, 3, 5, 14, 2, 3014]
Gen 7:[4, 10, 15, 9, 11, 4, 10, 9, 10, 7, 11, 7, 11, 9, 6, 4, 3, 8, 2, 3, 11, 7, 13, 8, 9, 6, 14, 9, 10, 8, 12, 13, 5, 12, 10, 9, 14, 4, 11, 14, 3, 17, 8, 2, 5, 8, 5, 3, 14, 7, 6, 12, 12, 9, 2, 2, 3, 2, 14, 5, 2015]
Gen 8:[4, 10, 15, 9, 11, 4, 10, 9, 10, 7, 11, 7, 11, 9, 6, 4, 3, 8, 2, 3, 11, 7, 13, 8, 9, 6, 14, 9, 10, 8, 12, 13, 5, 12, 10, 9, 14, 4, 11, 14, 3, 17, 8, 2, 5, 8, 5, 3, 14, 7, 6, 12, 12, 9, 2, 2, 3, 2, 14, 5, 2015]
Gen 9:[4, 12, 15, 8, 11, 9, 13, 9, 11, 7, 11, 6, 12, 8, 6, 5, 2, 9, 5, 4, 11, 3, 15, 7, 9, 6, 14, 9, 5, 11, 10, 13, 7, 10, 10, 8, 14, 4, 13, 17, 2, 13, 8, 2, 7, 9, 3, 4, 14, 7, 8, 13, 12, 6, 2, 5, 3, 5, 14, 2, 1014]
Gen 10:[4, 12, 15, 8, 11, 9, 13, 9, 11, 7, 11, 6, 12, 8, 6, 5, 2, 9, 5, 4, 11, 3, 15, 7, 9, 6, 14, 9, 5, 11, 10, 13, 7, 10, 10, 8, 14, 4, 13, 17, 2, 13, 8, 2, 7, 9, 3, 4, 14, 7, 8, 13, 12, 6, 2, 5, 3, 5, 14, 2, 1014]
