File name: 20-35-50
Result: 49
Gen 1:[5, 5, 6, 4, 7, 4, 7, 7, 3, 3, 4, 6, 4, 3, 6, 6, 4, 6, 5, 4, 11041]
Gen 2:[5, 3, 8, 2, 7, 5, 5, 7, 4, 2, 3, 2, 4, 3, 7, 7, 3, 4, 7, 3, 8038]
Gen 3:[5, 2, 6, 2, 4, 4, 5, 4, 6, 2, 4, 4, 6, 0, 7, 6, 4, 4, 5, 4, 7051]
Gen 4:[5, 2, 6, 2, 4, 4, 5, 4, 6, 2, 4, 4, 6, 0, 5, 6, 4, 4, 5, 4, 4051]
Gen 5:[5, 2, 6, 2, 4, 4, 5, 4, 6, 2, 4, 4, 6, 0, 5, 6, 4, 4, 5, 4, 4051]
Gen 6:[5, 5, 8, 5, 4, 4, 7, 7, 3, 3, 4, 4, 4, 3, 3, 7, 4, 3, 7, 3, 2050]
Gen 7:[5, 5, 8, 5, 4, 4, 7, 7, 3, 3, 4, 4, 4, 3, 3, 7, 4, 3, 7, 3, 2050]
Gen 8:[5, 5, 8, 5, 4, 4, 7, 7, 3, 3, 4, 4, 4, 3, 3, 7, 4, 3, 7, 3, 2050]
Gen 9:[5, 5, 8, 5, 4, 4, 7, 7, 3, 3, 4, 4, 4, 3, 3, 7, 4, 3, 7, 3, 2050]
Gen 10:[5, 5, 8, 5, 4, 4, 7, 7, 3, 3, 4, 4, 4, 3, 3, 7, 4, 3, 7, 3, 2050]
Gen 11:[5, 5, 8, 3, 7, 5, 7, 7, 3, 3, 3, 4, 4, 3, 3, 7, 4, 4, 7, 3, 2047]
Gen 12:[5, 5, 5, 4, 5, 4, 7, 7, 3, 3, 4, 4, 4, 3, 3, 7, 4, 3, 7, 3, 49]
