File name: 40-35-50
Result: 45
Gen 1:[9, 3, 2, 4, 2, 4, 11, 11, 9, 7, 8, 4, 7, 5, 4, 2, 5, 4, 9, 8, 6, 11, 11, 3, 3, 10, 7, 4, 7, 1, 2, 6, 11, 5, 6, 2, 8, 7, 5, 5, 17050]
Gen 2:[9, 3, 2, 4, 2, 4, 11, 11, 9, 7, 8, 4, 7, 5, 4, 2, 5, 4, 9, 8, 6, 11, 11, 3, 3, 10, 7, 4, 7, 1, 2, 6, 11, 5, 6, 2, 8, 7, 5, 5, 17050]
Gen 3:[9, 3, 2, 4, 2, 4, 11, 11, 9, 7, 8, 4, 7, 5, 4, 2, 5, 4, 9, 8, 6, 11, 11, 3, 3, 10, 7, 4, 7, 1, 2, 6, 11, 5, 6, 2, 8, 7, 5, 5, 17050]
Gen 4:[9, 3, 2, 4, 2, 4, 11, 11, 9, 7, 8, 4, 7, 5, 4, 2, 5, 4, 9, 8, 6, 11, 11, 3, 3, 10, 7, 4, 7, 1, 2, 6, 11, 5, 6, 2, 8, 7, 5, 5, 17050]
Gen 5:[9, 3, 2, 4, 2, 4, 11, 11, 9, 7, 8, 4, 7, 5, 4, 2, 5, 4, 9, 8, 6, 11, 11, 3, 3, 10, 7, 4, 7, 1, 2, 6, 11, 5, 6, 2, 8, 7, 5, 5, 17050]
Gen 6:[9, 8, 2, 4, 2, 2, 10, 7, 9, 5, 8, 5, 6, 3, 9, 2, 5, 5, 10, 7, 6, 10, 10, 3, 4, 7, 5, 3, 6, 1, 2, 6, 10, 5, 8, 2, 9, 7, 5, 5, 11049]
Gen 7:[9, 8, 2, 4, 2, 2, 10, 7, 9, 5, 8, 5, 6, 3, 9, 2, 5, 5, 10, 7, 6, 10, 10, 3, 4, 7, 5, 3, 6, 1, 2, 6, 10, 5, 8, 2, 9, 7, 5, 5, 11049]
Gen 8:[9, 8, 2, 4, 2, 2, 10, 7, 9, 5, 8, 5, 6, 3, 9, 2, 5, 5, 10, 7, 6, 10, 10, 3, 4, 7, 5, 3, 6, 1, 2, 6, 10, 5, 8, 2, 9, 7, 5, 5, 11049]
Gen 9:[8, 3, 2, 5, 2, 2, 9, 5, 7, 7, 8, 6, 9, 5, 4, 4, 4, 4, 10, 8, 6, 10, 10, 4, 3, 10, 9, 4, 7, 5, 3, 7, 12, 5, 6, 2, 7, 10, 5, 3, 8048]
Gen 10:[8, 3, 2, 5, 2, 2, 9, 5, 7, 7, 8, 6, 9, 5, 4, 4, 4, 4, 10, 8, 6, 10, 10, 4, 3, 10, 9, 4, 7, 5, 3, 7, 12, 5, 6, 2, 7, 10, 5, 3, 8048]
